Player,No,Position,Ht,GP,Mins,Mpg,3Pt,3P%,FG,FG%,FT,FT%,Rebounds,REB,RPG,PF,A,To,Bl,St,Pts,PPG,team
Alexis Lewans,6,Guard,5-8,15,102,6.8,NA,0,NA,44.4,NA,100,NA,7,0.5,4,4,5,0,6,10,0.7,Saskatchewan
Andrea Dodig,7,Guard,5-9,24,656,27.3,NA,31.7,NA,37.9,NA,69.2,NA,131,5.5,57,88,57,7,71,166,6.9,Saskatchewan
Anna Maelde,9,Guard,5-10,19,150,7.9,NA,0,NA,31.2,NA,45.5,NA,27,1.4,15,4,12,2,13,25,1.3,Saskatchewan
Carly Ahlstrom,3,Guard,6-0,24,633,26.4,NA,31.3,NA,38.3,NA,68.8,NA,153,6.4,61,37,56,16,33,348,14.5,Saskatchewan
Courtney Primeau,15,Forward,6-0,24,564,23.5,NA,25,NA,59.2,NA,69.9,NA,147,6.1,49,54,35,4,28,239,10,Saskatchewan
Ella Murphy Wiebe,10,Forward,6-0,17,226,13.3,NA,0,NA,50,NA,77.8,NA,81,4.8,24,10,18,4,15,64,3.8,Saskatchewan
Gage Grassick,5,Guard,5-7,24,719,30,NA,29.6,NA,43.6,NA,72.6,NA,125,5.2,52,98,50,8,69,340,14.2,Saskatchewan
Jordyn Reding,12,Guard,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saskatchewan
Logan Reider,2,Guard,5-10,22,429,19.5,NA,30.5,NA,39.7,NA,63.2,NA,47,2.1,38,28,24,0,22,186,8.5,Saskatchewan
Lucia Zilinska,13,Forward,6-2,23,182,7.9,NA,0,NA,53.7,NA,81.2,NA,83,3.6,28,10,23,4,7,85,3.7,Saskatchewan
Madalyn Picton,0,Guard,5-6,4,38,9.5,NA,0,NA,10,NA,50,NA,5,1.2,6,5,2,0,2,5,1.2,Saskatchewan
Maya Flindall,1,Guard,5-9,24,421,17.5,NA,33.3,NA,46.9,NA,75.6,NA,33,1.4,27,24,26,0,33,183,7.6,Saskatchewan
Rose Fall,11,Forward,6-1,7,34,4.9,NA,0,NA,20,NA,0,NA,17,2.4,5,1,3,0,0,2,0.3,Saskatchewan
Tea DeMong,4,Guard,6-0,24,645,26.9,NA,42.9,NA,49.4,NA,60.7,NA,109,4.5,43,45,49,6,62,317,13.2,Saskatchewan
